Location,Treatment,Count,Start time,End time,Point no.
NG,C,2,08:15,08:25,1
NG,O,2,08:52,09:02,2
NG,O,2,08:52,09:02,2
NG,O,2,08:52,09:02,2
NG,O,2,08:52,09:02,2
NG,O,2,08:52,09:02,2
NG,O,2,08:52,09:02,2
NG,O,2,08:52,09:02,2
NG,O,2,09:09,09:19,1
NG,O,2,09:09,09:19,1
NG,O,2,09:09,09:19,1
NG,O,2,09:09,09:19,1
NG,O,2,09:27,09:37,3
NG,O,2,09:27,09:37,3
NG,O,2,09:27,09:37,3
NG,O,2,09:27,09:37,3
NG,O,2,09:27,09:37,3
NG,Y,2,09:48,09:58,3
NG,Y,2,09:48,09:58,3
NG,Y,2,09:48,09:58,3
NG,Y,2,09:48,09:58,3
NG,Y,2,10:02,10:12,2
NG,Y,2,10:02,10:12,2
NG,Y,2,10:02,10:12,2
NG,Y,2,10:20,10:30,1
NG,Y,2,10:20,10:30,1
BHW,O,2,07:52,08:02,3
BHW,O,2,07:52,08:02,3
BHW,O,2,07:52,08:02,3
BHW,O,2,07:52,08:02,3
BHW,O,2,07:52,08:02,3
BHW,O,2,07:52,08:02,3
BHW,O,2,07:52,08:02,3
BHW,O,2,08:11,08:21,2
BHW,O,2,08:11,08:21,2
BHW,O,2,08:11,08:21,2
BHW,O,2,08:11,08:21,2
BHW,O,2,08:11,08:21,2
BHW,O,2,08:11,08:21,2
BHW,O,2,08:11,08:21,2
BHW,O,2,08:33,08:43,1
BHW,O,2,08:33,08:43,1
BHW,O,2,08:33,08:43,1
BHW,O,2,08:33,08:43,1
BHW,O,2,08:33,08:43,1
BHW,O,2,08:33,08:43,1
BHW,O,2,08:33,08:43,1
BHW,O,2,08:33,08:43,1
BHW,Y,2,09:04,09:14,2
BHW,Y,2,09:04,09:14,2
BHW,Y,2,09:04,09:14,2
BHW,Y,2,09:04,09:14,2
BHW,Y,2,09:04,09:14,2
BHW,Y,2,09:04,09:14,2
BHW,Y,2,09:04,09:14,2
BHW,Y,2,09:20,09:30,3
BHW,Y,2,09:20,09:30,3
BHW,Y,2,09:20,09:30,3
BHW,Y,2,09:20,09:30,3
BHW,Y,2,09:20,09:30,3
BHW,Y,2,09:38,09:48,1
BHW,Y,2,09:38,09:48,1
BHW,Y,2,09:38,09:48,1
BHW,Y,2,09:38,09:48,1
BHW,Y,2,09:38,09:48,1
BHW,C,2,10:13,10:23,1
BHW,C,2,10:13,10:23,1
BHW,C,2,10:13,10:23,1
BHW,C,2,10:26,10:36,2
BHW,C,2,10:26,10:36,2
BHW,C,2,10:26,10:36,2
BHW,C,2,10:26,10:36,2
BHW,C,2,10:26,10:36,2
BHW,C,2,10:26,10:36,2
BHW,C,2,10:38,10:48,3
BHW,C,2,10:38,10:48,3
BHW,C,2,10:38,10:48,3
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:27,07:37,2
MLS,Y,2,07:43,07:53,3
MLS,Y,2,07:43,07:53,3
MLS,Y,2,07:43,07:53,3
MLS,Y,2,07:43,07:53,3
MLS,Y,2,07:59,08:09,1
MLS,Y,2,07:59,08:09,1
MLS,Y,2,07:59,08:09,1
MLS,Y,2,07:59,08:09,1
